drug_id,target_id,drug_mechanism_of_action_on_target
DNS2P1,T60345,Inhibitor
DQD1T2,T60345,Inhibitor
D07NVI,T60636,Modulator
D0N3XT,T61400,Modulator
D08FIX,T61518,Inhibitor
D03MXK,T61683,Modulator
D0G9AW,T62431,Modulator
DI1VM3,T62431,Inhibitor
DMKG40,T63189,
DHWF68,T63239,
D00ABO,T63505,
D09DHT,T64213,Activator
D0L2UQ,T65755,Modulator
D0V0SL,T65755,Modulator
D08ABX,T66426,CAR-T-Cell-Therapy
D0NY1Y,T66426,CAR-T-Cell-Therapy
D0X7CV,T67619,Inhibitor
D6H9TE,T67805,Inhibitor
D0I7IB,T68547,Inhibitor
D07DCG,T69563,Inhibitor
D07VYP,T69563,Inhibitor
D0LF1U,T70508,Inhibitor
D0Z1DH,T70977,Modulator
D00QWK,T71205,CAR-T-Cell-Therapy
D04GGG,T71205,CAR-T-Cell-Therapy(Dual specific)
D0RF4J,T71205,CAR-T-Cell-Therapy(Dual specific)
D4UQ2B,T71205,
D5T9GZ,T71205,
DW01LJ,T71205,
D07TWK,T71266,Modulator
D00HAN,T71377,CAR-T-Cell-Therapy
D04GGG,T71377,CAR-T-Cell-Therapy(Dual specific)
D04MLR,T71377,CAR-T-Cell-Therapy
D07MGC,T71377,
D0AW4T,T71377,CAR-T-Cell-Therapy
D0C3JB,T71377,CAR-T-Cell-Therapy
D0H8UT,T71377,CAR-T-Cell-Therapy
D0JX7M,T71377,CAR-T-Cell-Therapy
D0N4VG,T71377,CAR-T-Cell-Therapy
D0N6PE,T71377,CAR-T-Cell-Therapy
D0R5NU,T71377,CAR-T-Cell-Therapy
D0R7NI,T71377,Modulator
D0YA1B,T71377,
D0Z7QK,T71377,CAR-T-Cell-Therapy
D2GY5C,T71377,Inhibitor
D9TG4H,T71377,Inhibitor
DB4C5H,T71377,
DL1FG3,T71377,
D00RYU,T71928,Antagonist
D03PWD,T72835,Inhibitor
D0M0OT,T73097,
D0IM6T,T73215,Immunostimulant
D0V2ZC,T74073,Inhibitor
D00ABO,T74312,
D04KZY,T74312,Inhibitor
D07KYT,T74312,Inhibitor
D07NVU,T74312,Inhibitor
D07ZNF,T74312,
D0D0TQ,T74312,Inhibitor
D0V2ZC,T74312,Inhibitor
D0V9WF,T74312,Modulator
D0X8ID,T74312,Inhibitor
D0YQ9I,T74312,Inhibitor
D28HJI,T74312,Inhibitor
D91CMX,T74312,Inhibitor
DI1VM3,T74312,Inhibitor
DIA08F,T74312,Inhibitor
D0Z1DH,T76910,Modulator
D01CEQ,T77473,Inhibitor
D09DHT,T78318,Inhibitor (gating inhibitor)
D0T6IN,T78381,Agonist
D09DHT,T78692,Inhibitor (gating inhibitor)
D0S7HM,T78874,Inhibitor
D0OY9L,T81695,
D0K4VW,T82051,
D04KZY,T82383,Inhibitor
D0VH4T,T82383,Inhibitor
D0X9VR,T82383,
D0Y5QA,T82383,Inhibitor
D0ZA1K,T82494,Immunomodulator
D0V5AL,T83145,Inhibitor
D03UBW,T83797,Inhibitor
D09TGX,T84631,Inhibitor
D03MXK,T84780,Inhibitor
D0J1GR,T85943,Inhibitor
D0I6RI,T86052,
D03HML,T86323,CAR-T-Cell-Therapy
D0V6WW,T86323,CAR-T-Cell-Therapy
D0YH5L,T86323,CAR-T-Cell-Therapy
D02YNI,T86399,Modulator
D05ICT,T86399,Inhibitor
D07NPS,T86528,Inhibitor
D01XWG,T86836,Intercalator
D0A1IL,T86836,Modulator
D0J9UN,T86836,Modulator
D02BVW,T87237,Stimulator
D0S7HM,T87675,Inhibitor
D0C6GK,T87686,Modulator
D0KS6F,T87946,Modulator
D09NTC,T88304,Inhibitor
D0A2BO,T88304,Inhibitor
D0Q5KZ,T88304,Modulator
D0C6RM,T88569,Inhibitor
D0B5HS,T89697,Inhibitor
D0OC4O,T92057,Inhibitor
D0A2BO,T92308,Inhibitor
D06DCL,T93062,Modulator
D0Q5GK,T93923,CAR-T-Cell-Therapy
D0HY3D,T94085,Agonist
D0LF1U,T95399,Inhibitor
D0LC5L,T96079,Antagonist
D0T6CN,T96079,Antagonist
D0Z8JR,T96079,Modulator
D00NVM,T96144,Modulator
D01UBX,T96144,Inhibitor
D01XDL,T96144,Modulator
DB5O1U,T96723,Modulator
D08FIX,T96892,Inhibitor
D09JYL,T97766,Inhibitor
DI8WC4,T97766,Inhibitor
DOJG79,T98034,Inhibitor
D4UFT5,T99765,Inhibitor
D0YM2K,T99948,
D0K4MH,T21945,Modulator
D08ZEB,T39078,Activator
D0K4MH,T47768,Modulator
D02LDN,T69494,Antagonist
DK8BS7,T20629,
D00QBV,T40332,
D01NJE,T40332,
D0G1SN,T40332,
D0B7YT,T09130,Antagonist
D0M7LV,T32060,Inhibitor
D0M7LV,T78709,Inhibitor
D06CWZ,T65883,CAR-T-Cell-Therapy
D05MOZ,T97071,Inhibitor
D0W6LI,T08898,Antagonist
D0H2UB,T47623,Inhibitor
D0X7JR,T60366,Inhibitor
D0H2UB,T68334,Antagonist
DU10JI,T08391,Inhibitor
D0E3EK,T11211,Modulator
D0H2DS,T22032,Modulator
D02TUL,T23172,Inhibitor
D6INZ9,T23172,Inhibitor
D6N5UC,T23172,Inhibitor
D06AVN,T27265,Inhibitor
D0O8SY,T27265,Modulator
DD3IE7,T38875,Activator
D0Q2XF,T47077,Modulator
D0Q5QE,T49493,Modulator
D0E2QC,T50066,Modulator
D0I9AC,T54379,Modulator
DVT3F8,T61722,Antagonist
D0S7KA,T62151,Inhibitor
D6INZ9,T62460,Inhibitor
D6N5UC,T62460,Inhibitor
DU10JI,T62460,Inhibitor
DR7EV6,T65941,
D0X9FO,T67952,Opener
D0R4OD,T86552,
D0E6AH,T00895,Activator
D08VJI,T01777,Antagonist
D0B3ZF,T01777,Antagonist
D04RDT,T01840,Inhibitor
D00DRL,T01973,Inhibitor
D0IZ8X,T02001,Inhibitor
D05XEA,T02551,Partial agonist
D00MBY,T02562,Inhibitor
D09WZU,T02719,Modulator
D0N5CW,T02719,Agonist
D0T3DG,T02719,Modulator
DSK7I5,T02719,Agonist
D05VAE,T03644,Modulator
D03NLQ,T04902,Modulator
D0G5ZE,T04902,Inhibitor
D04NCC,T05880,Inhibitor
D09UJB,T05880,Inhibitor
D0I9VU,T05880,Inhibitor
D06STX,T07173,Inhibitor
D0C2OR,T07173,Agonist
D00DRL,T07303,Inhibitor
D0I0YS,T07400,Inhibitor
D0MW7B,T07400,Antagonist
D0PU9C,T07400,Modulator
D06FKC,T07806,Agonist
D06UWF,T08133,Inhibitor
D02VHE,T09130,Modulator
D0R7EA,T10482,Inhibitor
D00CVJ,T11072,Agonist
D8NY3J,T11448,Agonist
D05EKM,T13644,Modulator
D0E8HA,T15784,Modulator
D05TKW,T15803,Inhibitor
D05EKM,T16633,Modulator
D01NDF,T16691,Modulator
D07RQR,T16691,Antagonist
D0G1YA,T16691,Antagonist
D0J7EP,T16691,Antagonist
D0L8IO,T16691,Modulator
D0R9HI,T16691,Antagonist
D0V4ZQ,T16691,Antagonist
D0X9HF,T16691,Modulator
D0Z0GX,T16691,Antagonist
DWD06K,T16691,Antagonist
D5NAL9,T16739,Inhibitor
DL50ZE,T16739,Inhibitor
D0C6TL,T17163,Modulator
D0A9IY,T17852,Inhibitor
D0S0FD,T17852,Antagonist
D0W7UN,T17852,Inhibitor
DH6G1L,T18204,Modulator
DM95PZ,T18204,Enhancer
DNH51Q,T18204,Modulator
D0V9MT,T18477,Inhibitor
D02AOD,T19433,Stimulator
D2KV0F,T19567,Inhibitor
DS70NZ,T19567,Inhibitor
DVY0C6,T19567,Inhibitor
D09TAB,T20333,Inhibitor
D6UEI3,T21689,
D0K8NR,T21960,Modulator
D0AZ5V,T22285,Inhibitor
D8W0NQ,T23359,Modulator
D0K8NR,T23547,Agonist
D06GRK,T24793,Inhibitor
D05XEA,T24983,Partial agonist
D09TXO,T25705,Agonist
D0O3TC,T26220,Modulator
D0CH7C,T26368,Modulator
D07ESH,T27137,Antagonist
D0Z6IB,T27812,Modulator
D01YGY,T28722,Antagonist
D02UIE,T28722,Modulator
D05IVZ,T28722,Modulator
D0P3IE,T28722,Modulator
D04SIU,T28893,Agonist
D06ODM,T28893,Agonist
D09AOO,T28893,Agonist
D09BBA,T28893,Modulator
D0X8MZ,T28893,Modulator
D02UQU,T30082,Modulator
D03DFY,T30082,Inhibitor
D04UKJ,T30082,Inhibitor
D05UXU,T30082,Inhibitor
D06XWB,T30082,Inhibitor
D06ZAM,T30082,Inhibitor
D07CIN,T30082,Inhibitor
D09IUG,T30082,Inhibitor
D0AM8W,T30082,Inhibitor
D0C3UC,T30082,Inhibitor
D0E6YQ,T30082,Inhibitor
D0J4GQ,T30082,Inhibitor
D0K0XG,T30082,Inhibitor
D0M2GI,T30082,Modulator
D0NS6H,T30082,Modulator
D0O5GK,T30082,Inhibitor
D0R9VR,T30082,Inhibitor
D0TK0W,T30082,Inhibitor
D0V7FG,T30082,Inhibitor
D0W3BA,T30082,Inhibitor
D0WI9W,T30082,Inhibitor
D0WY5Q,T30082,Modulator
D0X1XK,T30082,Inhibitor
D67DST,T30082,Inhibitor
D0M1IN,T30418,Inhibitor
D05XEA,T32060,Partial agonist
DDI6B0,T32060,Agonist
D3X2TH,T32984,Stabilizer
D0A9VO,T33584,Inhibitor
D08XOY,T34429,Modulator
D0D3TX,T34429,Modulator
D0H1AY,T34429,Agonist
D0K8NR,T34429,Agonist
D0Q9RR,T34429,Modulator
D0VE4O,T34429,Agonist
D0X2NB,T34429,Agonist
D38LQO,T34624,Inhibitor
D7A5LO,T36075,Agonist
D96UBZ,T36075,Agonist
D0ZT8A,T36557,Modulator
D53BEH,T36557,Agonist
DK3WQ5,T37693,Agonist
D1OM8E,T38143,Inhibitor
D5QKY2,T38950,Inhibitor
D00BUR,T39078,Inhibitor
D00DRL,T40474,Inhibitor
D0N7WW,T40556,Modulator
DCZ16N,T41141,Inhibitor
DM69TL,T41141,Inhibitor
DSM03D,T41141,Inhibitor
