drug_id,target_id,drug_mechanism_of_action_on_target
D0NR6S,T72171,Antagonist
D03DYB,T72957,Antagonist
D07TTI,T72957,Modulator
D0TN3D,T72957,Antagonist
D00AKQ,T73476,Modulator
D05OIU,T77236,Inhibitor
D0D5VJ,T77365,Agonist
D00SLY,T79961,Modulator
D05KXJ,T79961,Antagonist
D06CVO,T79961,Antagonist
D0L3CQ,T79961,Antagonist
D03ESO,T82393,Inhibitor
D00WUF,T84316,Modulator
DG2EK3,T85943,Inhibitor
D0T4TN,T86364,Antagonist
D01YIO,T86385,Inhibitor
D0G9XS,T86552,
D0E5NY,T89988,Antagonist
D0X4SI,T89988,Antagonist
D0F4QV,T03661,Modulator
D02HUY,T05409,Inhibitor
D00EUL,T07173,Inhibitor
D00FJH,T07173,Inhibitor
D00MGO,T07173,Inhibitor
D00XXZ,T07173,Inhibitor
D02ETU,T07173,Inhibitor
D02IBX,T07173,Inhibitor
D02OLJ,T07173,Inhibitor
D02ZQN,T07173,Inhibitor
D03BAY,T07173,Inhibitor
D04BRW,T07173,Inhibitor
D04GCC,T07173,Inhibitor
D04JCD,T07173,Inhibitor
D04RXX,T07173,Inhibitor
D05AQT,T07173,Inhibitor
D05MRY,T07173,Inhibitor
D06GOT,T07173,Inhibitor
D07AJO,T07173,Inhibitor
D07CPL,T07173,Inhibitor
D07KVL,T07173,Antagonist
D07VFQ,T07173,Inhibitor
D08BIH,T07173,Inhibitor
D08CZY,T07173,Inhibitor
D0AG2A,T07173,Inhibitor
D0AU4G,T07173,Inhibitor
D0BO1H,T07173,Inhibitor
D0C3RK,T07173,Inhibitor
D0CG8N,T07173,Inhibitor
D0CY3U,T07173,Inhibitor
D0DN3Q,T07173,Inhibitor
D0DQ5G,T07173,Inhibitor
D0DY5R,T07173,Inhibitor
D0EC4Z,T07173,Inhibitor
D0F2BF,T07173,Antagonist
D0F8BF,T07173,Inhibitor
D0FL8A,T07173,Antagonist
D0H3ZG,T07173,Inhibitor
D0HF1A,T07173,Inhibitor
D0I2OO,T07173,Inhibitor
D0I9FU,T07173,Inhibitor
D0J4CA,T07173,Antagonist
D0K6IM,T07173,Antagonist
D0KC8X,T07173,Inhibitor
D0LK8E,T07173,Inhibitor
D0M8VS,T07173,Inhibitor
D0MZ7K,T07173,Inhibitor
D0N6NG,T07173,Inhibitor
D0O0GZ,T07173,Inhibitor
D0O8SX,T07173,Inhibitor
D0P8SR,T07173,Inhibitor
D0PY0G,T07173,Antagonist
D0QT8L,T07173,Inhibitor
D0RK6W,T07173,Inhibitor
D0RR8O,T07173,Inhibitor
D0S0II,T07173,Inhibitor
D0T0HM,T07173,Antagonist
D0T4CF,T07173,Inhibitor
D0U3RD,T07173,Inhibitor
D0U5XI,T07173,Inhibitor
D0UN4M,T07173,Inhibitor
D0UQ2G,T07173,Inhibitor
D0V9ZJ,T07173,Inhibitor
D0VD5J,T07173,Inhibitor
D0WI7N,T07173,Inhibitor
D0X1LP,T07173,Inhibitor
D0X4LA,T07173,Inhibitor
D0Y0XJ,T07173,Inhibitor
D0Y1NH,T07173,Inhibitor
D0YN0I,T07173,Inhibitor
D0ZE6H,T07173,Inhibitor
D01FZZ,T12119,Inhibitor
D0O7QA,T12119,Blocker
D04JHN,T47768,Inhibitor
D0E1WI,T47768,Modulator
D0OK6F,T47768,Agonist
D0WE3O,T47768,Modulator
D00MGO,T51076,Inhibitor
D0AG2A,T51076,Inhibitor
D0AU4G,T51076,Inhibitor
D0M8VS,T51076,Inhibitor
D0Y1NH,T51076,Inhibitor
D00AMQ,T51487,Antagonist
D04JHN,T58992,Binder
D0R6UV,T59328,Inhibitor
D08NJE,T60693,Agonist
DDQH94,T60693,Agonist
D0U0CF,T62974,Agonist
D07VHR,T66665,Inhibitor
D0R6UV,T74312,Inhibitor
D0R6UV,T80975,Inhibitor
D00CMV,T83193,Blocker
D0KK9D,T83193,Agonist
D0L5XI,T83193,Blocker
D00MGO,T84703,Inhibitor
D0AG2A,T84703,Inhibitor
D0AU4G,T84703,Inhibitor
D0M8VS,T84703,Inhibitor
D0Y1NH,T84703,Inhibitor
D03APM,T85670,Modulator
D0R6UV,T96788,Inhibitor
DM5PA2,T76093,Replacement
D0U0KW,T48268,Modulator
D0U0KW,T97613,Modulator
DHJ64U,T46040,
DU6SH2,T46040,
D02ALZ,T01840,Modulator
D02WQZ,T01840,Modulator
D03JRG,T10383,Inhibitor
D08FTG,T11843,Inhibitor
D0C7GJ,T14602,Modulator
D0KY7S,T15803,
D02NHW,T19368,Inhibitor
D04TEF,T27602,Modulator
D0X6QL,T41141,Inhibitor
D08HXG,T73476,Antagonist
D0A2GM,T73476,Modulator
D0C6ZX,T73476,Modulator
D0UX6Z,T73476,Modulator
D08PSU,T84631,Modulator
D08UUD,T84631,Inhibitor
D0N2BX,T84631,Modulator
D0V2OS,T84631,Inhibitor
D03LWO,T94033,Modulator
D05HAD,T94033,Inhibitor
D09WKB,T94033,Modulator
D0JQ7Y,T94033,Inhibitor
DUAI04,T73726,Inhibitor
DB2V8K,T05387,Inhibitor
D0A5EN,T32240,
D00WBN,T86161,Modulator
D0CF2Q,T09538,Inhibitor
D0R3EL,T14731,Activator
D0K9BV,T16514,Inhibitor
D7K0GP,T31391,Inhibitor
DV74TF,T35792,Inhibitor
D08QYW,T47863,CAR-T-Cell-Therapy
D0M3MN,T52227,Inhibitor
D0R3EL,T52969,Inhibitor
D7K0GP,T53764,Inhibitor
D07POC,T59328,Inhibitor
D01KOA,T60631,Inhibitor
D05CBJ,T05031,Inhibitor
D0O0LS,T07173,Inhibitor
D0M9VE,T07663,Modulator
D07HOB,T09826,Modulator
D08EES,T09826,Modulator
D08ODH,T09826,Inhibitor
D0B6YB,T09826,Inhibitor
D0T2OT,T10362,Modulator
D70HIN,T10822,Inhibitor
D0F7YW,T11451,Agonist
D08KSU,T14143,
D06KOM,T14597,Modulator
D08QZH,T14597,CAR-T-Cell-Therapy
D0U3EP,T14731,Inhibitor
D0CO9B,T15739,Modulator
D0KK4N,T15739,
D0YO4C,T16340,Modulator
D00KDQ,T16601,CAR-T-Cell-Therapy
D03QMY,T16601,
D05ENG,T16601,Modulator
D0O5XF,T16601,
D0S0DU,T16601,
D0S1QN,T16601,CAR-T-Cell-Therapy
D0T5DC,T16601,CAR-T-Cell-Therapy
D0XP4A,T16601,
D0Z0EP,T16601,
D02HKC,T18779,
D0C9MJ,T18779,CAR-T-Cell-Therapy
D00PEN,T18972,Modulator
D00IVN,T20761,
D04KBL,T20761,Inhibitor
D06FTM,T20761,Modulator
D0I8YS,T20761,Modulator
D06FTM,T21960,Modulator
D0I8YS,T21960,Modulator
D03CHM,T23003,Modulator
D09NCU,T25637,
D01IGZ,T29130,Inhibitor
D0T2FC,T29815,
D03JTG,T31946,Inhibitor
D09HNV,T31946,Modulator
D0FB4W,T35289,CAR-T-Cell-Therapy
D0N4SF,T35486,
D01AFG,T40010,Modulator
D0A3OE,T40474,CAR-T-Cell-Therapy
D0K3LX,T43332,Modulator
D0WZ3G,T43718,Agonist
D00WME,T43739,Binder
D01EXL,T45968,Modulator
D0G4ES,T45993,Antagonist
D09HNV,T47101,Modulator
D8UZ5R,T47381,Inhibitor
D0J9KC,T47863,
D01OYS,T48069,Inhibitor
D2YN1W,T48429,Agonist
D05LEO,T48945,
D0O0LS,T51076,Inhibitor
D07JWO,T51223,Modulator
D0JF6C,T51407,Inhibitor
D06ZAK,T51666,Modulator
D03QMY,T51693,
D05LEO,T52227,Inhibitor
D0Q0UA,T52227,Modulator
D0TS1Z,T52227,Inhibitor
D09HNV,T52624,Modulator
D0O7DU,T54156,Modulator
D00IVN,T55273,
D02BQE,T55293,Inhibitor
D0O0LS,T56418,Inhibitor
D00PEN,T57001,Modulator
D07GNO,T57001,
D08IDB,T57001,
D0LY0C,T57001,
D03WPP,T59328,Modulator
D09BZJ,T59328,Modulator
D0CR8H,T59328,
D0G1ZU,T59328,CAR-T-Cell-Therapy
D0HU9H,T59328,Suppressor
D0N5OV,T59328,
D73FNL,T59328,
D00JMY,T59631,Modulator
D73FNL,T60345,
D0U3EP,T60529,Modulator
D04PIH,T63934,Modulator
D04NOE,T63966,
D0F9QH,T67103,
D05CBJ,T67849,Inhibitor
D0O0LS,T69128,Inhibitor
D00WME,T70067,Agonist
DH17JI,T70067,Agonist
D0Q5QV,T71164,Modulator
D01NEC,T71266,Modulator
D0HB0V,T74002,Modulator
D09HNV,T74312,Inhibitor
D05LEO,T75890,Inhibitor
D00WME,T76685,Agonist
D02WLS,T78114,
D0J3TI,T79162,Inhibitor
D05LEO,T79249,
D05CBJ,T80276,Inhibitor
D04NOE,T80975,
D05BGY,T81774,Inhibitor
D0O0LS,T84703,Inhibitor
D0KV3M,T85554,Inhibitor
D06DOJ,T86350,Antagonist
D09BZJ,T86350,Modulator
D0O1XU,T86428,Modulator
D02RKG,T86748,Modulator
D0FK9H,T86748,Inhibitor
D0Y3ME,T86836,Modulator
D0GZ3A,T91696,
D07TPL,T94085,Agonist
D05CBJ,T95913,Modulator
D07HTX,T96144,Modulator
D08EES,T96144,Modulator
D0L5MF,T96144,Modulator
D2KVG4,T96721,
D07XOV,T97136,Inhibitor
D07XOV,T99160,Inhibitor
D07RKO,T31479,Inhibitor
D0F7NQ,T68066,Modulator
D02YIW,T01777,Modulator (allosteric modulator)
D0NJ1A,T04902,Inhibitor
D04WDX,T06273,Inhibitor
D02YIW,T12475,Modulator (allosteric modulator)
D0J0WG,T41141,Inhibitor
D09JEJ,T51565,Inhibitor
D0L3MP,T65414,
DXNT71,T68706,Inhibitor
D09JEJ,T84894,Modulator
D0NJ1A,T86385,Inhibitor
D01VRQ,T17140,Inhibitor
D0PL3N,T17140,Inhibitor
D3X1TS,T17140,Antagonist
DF0PI8,T17140,Antagonist
D00EJP,T29303,Modulator
D0B0SH,T33754,Modulator
D0Q2ES,T39716,Blocker
D09OBB,T46360,Agonist
D0P3JF,T47094,Antagonist
D0HF0W,T47768,Modulator
D0B0SH,T47941,Modulator
D03DIG,T58992,Agonist
D0R1XI,T58992,Antagonist
D0HF0W,T74166,Modulator
D0J6WX,T79961,Modulator
D0DY4E,T83193,Inhibitor
D0U2DH,T02001,Inhibitor
D0A0MS,T06841,
D0G3EU,T06841,
DMS12U,T06841,Inhibitor
D0PK5M,T07403,Modulator
DYZA20,T07403,Antagonist
D0U2DH,T10265,Inhibitor
D0C9NJ,T13251,Inhibitor
D00ISN,T13852,Modulator
D07EDB,T13852,Agonist
D04WQJ,T14065,
D0N5ZS,T14065,Antagonist
D0FX3P,T16486,
D0AJ5E,T17003,Inhibitor
D0M4MH,T19334,
D0D3TQ,T19556,Inhibitor
D06MJP,T20178,
D0S2GT,T20178,Modulator
D2AQW7,T20178,
D02QWK,T22655,Inhibitor
D0D7CH,T25307,Agonist
D0P9BT,T26203,Antagonist
D0C1UF,T30635,
D0L7LH,T30635,
D04RMM,T32578,Inhibitor
D06NXG,T32578,Inhibitor
D0GJ1U,T32578,Inhibitor
D0VS2W,T32578,Inhibitor
D61PGU,T35212,
D82MSU,T35212,
D06JUE,T35289,Antagonist
D0I4PW,T37693,Agonist
D09UZO,T40111,Inhibitor
D01NZH,T45758,Antagonist
D00COH,T46526,Antagonist
D00KKD,T46526,Antagonist
D00RDO,T46526,Antagonist
D00RQW,T46526,Antagonist
D00XEM,T46526,Antagonist
D00XKE,T46526,Antagonist
D01CND,T46526,Antagonist
D01PBX,T46526,Antagonist
D01RHK,T46526,Antagonist
D01ZKE,T46526,Antagonist
D02AAD,T46526,Antagonist
D02DFJ,T46526,Antagonist
D02HPF,T46526,Antagonist
D02NDP,T46526,Antagonist
D02UDO,T46526,Antagonist
D02WWT,T46526,Antagonist
D02XNH,T46526,Antagonist
D02ZYV,T46526,Antagonist
D03CTH,T46526,Antagonist
D03HHG,T46526,Antagonist
D03ITZ,T46526,Antagonist
D03JFJ,T46526,Antagonist
D03KAV,T46526,Antagonist
D03RXE,T46526,Antagonist
D03WJB,T46526,Antagonist
D03WXM,T46526,Antagonist
D04NXG,T46526,Antagonist
D04PKX,T46526,Antagonist
D05AZE,T46526,Antagonist
D05BTL,T46526,Antagonist
D05BUD,T46526,Antagonist
D05CBP,T46526,Antagonist
D05HKC,T46526,Antagonist
D05JAS,T46526,Antagonist
D05OMO,T46526,Antagonist
D05WWX,T46526,Antagonist
D05XGH,T46526,Antagonist
D05ZHZ,T46526,Antagonist
D06PNN,T46526,Antagonist
D06SWT,T46526,Antagonist
D07GAN,T46526,Antagonist
D07HOP,T46526,Antagonist
D07KCA,T46526,Antagonist
D07POS,T46526,Antagonist
D07PVX,T46526,Antagonist
D07QAH,T46526,Antagonist
D07RAA,T46526,Antagonist
D07RQA,T46526,Antagonist
D08BLZ,T46526,Antagonist
D08BNB,T46526,Antagonist
D08OXD,T46526,Antagonist
D08WZC,T46526,Antagonist
D09BGB,T46526,Antagonist
D09EIQ,T46526,Antagonist
D09EXQ,T46526,Antagonist
D09JDV,T46526,Antagonist
D09LWP,T46526,Antagonist
D09LWZ,T46526,Antagonist
D09SLI,T46526,Antagonist
D09TKY,T46526,Antagonist
D09ZCA,T46526,Antagonist
D0A3PP,T46526,Antagonist
D0A8GW,T46526,Antagonist
D0A8RV,T46526,Antagonist
D0AK2Y,T46526,Antagonist
D0AM0A,T46526,Antagonist
D0AY0H,T46526,Antagonist
D0B1HT,T46526,Antagonist
D0B3CU,T46526,Antagonist
D0B8RU,T46526,Antagonist
D0B9LM,T46526,Antagonist
D0BR9C,T46526,Antagonist
D0BS3E,T46526,Antagonist
D0C8EB,T46526,Antagonist
D0CD7Q,T46526,Antagonist
D0CN6Q,T46526,Antagonist
D0CN7A,T46526,Antagonist
D0CR8J,T46526,Antagonist
D0D2QE,T46526,Antagonist
D0D6HS,T46526,Antagonist
D0D6OM,T46526,Antagonist
D0D9MV,T46526,Antagonist
D0DH0Y,T46526,Antagonist
D0DI1T,T46526,Antagonist
D0DI6U,T46526,Antagonist
D0DW7A,T46526,Antagonist
D0E1GC,T46526,Antagonist
D0E3DS,T46526,Antagonist
D0E9GD,T46526,Antagonist
D0EA9Y,T46526,Antagonist
D0ET9M,T46526,Antagonist
D0F6TN,T46526,Antagonist
D0FI3Q,T46526,Antagonist
D0FL3H,T46526,Antagonist
D0FS9V,T46526,Antagonist
D0FT4P,T46526,Antagonist
D0G9KS,T46526,Antagonist
D0GB6Y,T46526,Antagonist
D0GM6O,T46526,Antagonist
D0GP7L,T46526,Antagonist
D0GR3C,T46526,Antagonist
D0GV9F,T46526,Antagonist
D0H1BZ,T46526,Antagonist
D0H4CL,T46526,Antagonist
D0H7UR,T46526,Antagonist
D0HE3B,T46526,Antagonist
D0I2MR,T46526,Antagonist
D0IB8D,T46526,Antagonist
D0IF4J,T46526,Antagonist
D0J0LC,T46526,Antagonist
D0J8HJ,T46526,Antagonist
D0K2AA,T46526,Antagonist
D0K3DA,T46526,Antagonist
D0K7TE,T46526,Antagonist
D0KE8Q,T46526,Antagonist
D0KG5U,T46526,Antagonist
D0KX1A,T46526,Antagonist
D0L1PO,T46526,Antagonist
D0L2QZ,T46526,Antagonist
D0L3JL,T46526,Antagonist
D0L5OP,T46526,Antagonist
D0LZ1W,T46526,Antagonist
D0M7XB,T46526,Antagonist
D0MO0Z,T46526,Antagonist
D0MZ8J,T46526,Antagonist
D0N2AI,T46526,Antagonist
D0N4TO,T46526,Antagonist
D0N4WW,T46526,Antagonist
D0NB5P,T46526,Antagonist
D0O4TC,T46526,Antagonist
D0O8EX,T46526,Antagonist
D0OQ2R,T46526,Antagonist
D0OW1V,T46526,Antagonist
D0OW6O,T46526,Antagonist
D0P3SL,T46526,Antagonist
D0Q0XC,T46526,Antagonist
D0Q1SX,T46526,Antagonist
D0Q7QK,T46526,Antagonist
D0QL0X,T46526,Antagonist
D0QM2O,T46526,Antagonist
D0QQ5W,T46526,Antagonist
D0QU6N,T46526,Antagonist
D0R1GD,T46526,Antagonist
D0R1SQ,T46526,Antagonist
D0R2GA,T46526,Antagonist
D0R6FO,T46526,Antagonist
D0R7YN,T46526,Antagonist
D0RE0F,T46526,Antagonist
D0RG1Z,T46526,Antagonist
D0RZ5E,T46526,Antagonist
D0SD4Q,T46526,Antagonist
D0SE7V,T46526,Antagonist
D0SR8I,T46526,Antagonist
D0SU0E,T46526,Antagonist
D0T6NX,T46526,Antagonist
D0T7VN,T46526,Antagonist
D0TP8T,T46526,Antagonist
D0TY1Q,T46526,Antagonist
D0UB8U,T46526,Antagonist
D0UE3F,T46526,Antagonist
D0UG9S,T46526,Antagonist
D0UK1S,T46526,Antagonist
D0US5I,T46526,Antagonist
D0UZ2S,T46526,Antagonist
D0VA1D,T46526,Antagonist
D0VB4T,T46526,Antagonist
D0VF5B,T46526,Antagonist
D0VG0F,T46526,Antagonist
D0W1SE,T46526,Antagonist
D0W7VE,T46526,Antagonist
D0WO2I,T46526,Antagonist
D0WO6C,T46526,Antagonist
D0WV9J,T46526,Antagonist
D0WW9B,T46526,Antagonist
D0X4TV,T46526,Antagonist
D0X7HN,T46526,Antagonist
D0X8AB,T46526,Antagonist
D0XH4K,T46526,Antagonist
D0XP5X,T46526,Antagonist
D0XR1C,T46526,Antagonist
D0Y0SI,T46526,Antagonist
D0Y3UB,T46526,Antagonist
D0YX4L,T46526,Antagonist
D0Z1YF,T46526,Antagonist
D0Z1ZA,T46526,Antagonist
D0Z6PF,T46526,Antagonist
D0ZD6N,T46526,Antagonist
D0ZR2O,T46526,Antagonist
D72HXF,T46526,Inhibitor
D0S5UH,T49814,Modulator
D0WL0Q,T54156,Modulator
D0P9BT,T57011,
D0U2DH,T61744,Inhibitor
D07JAG,T62460,Modulator
D0SG7B,T62460,Modulator
DFK8Z5,T62460,Inhibitor
D07UKF,T68290,Inhibitor
D09KIG,T70888,Antagonist
D06NXG,T83103,Inhibitor
D0D4ZW,T85435,Modulator
D0M1WU,T86130,Modulator
D09FKY,T93661,Inhibitor
D09FKY,T94695,Inhibitor
D0H1TL,T95385,Modulator
D04WQJ,T97587,Inhibitor
D0N5ZS,T97587,Antagonist
D3LWJ7,T97587,
DWKI46,T97587,
D09UZO,T97713,Breaker
D00YXU,T97873,Antagonist
D0K3UQ,T97873,Modulator
D07FEC,T97947,Modulator
D0Y5ZT,T13852,Agonist
D01XVF,T32578,Inhibitor
DF1T2W,T55398,Inhibitor
D0BW6F,T62431,Inhibitor
D0H2HZ,T62431,Inhibitor
DMT2F4,T63226,
D01XVF,T93440,
DC1AV3,T99340,Inhibitor
D05OVR,T01840,Modulator
D09IRQ,T02779,Modulator
D0F7WQ,T11211,Inhibitor
D08DGC,T20178,Inhibitor
D0Y6SQ,T20297,Inhibitor
DI6G5U,T22415,Inhibitor
D0PQ3V,T22839,Inhibitor
D0Q7JC,T29303,Blocker
D08PBB,T40332,Inhibitor
DAD95G,T52173,Inhibitor
D01DGZ,T55654,Modulator
D0A1YF,T55654,Modulator
D0E0JO,T55654,Enhancer
D0S9WB,T55654,Enhancer
D0U0QC,T55654,Modulator
D0VT6X,T55654,Modulator
D0W7WC,T55654,Modulator
D0X0CB,T55654,Regulator
D0Z5HR,T55654,Regulator
D62RIY,T55654,
D00NWT,T57585,Modulator
D09BLW,T57585,Modulator
D18ATS,T58184,Modulator
D0QG2D,T59626,Antagonist
D0T9LR,T61484,Modulator
D0J3SU,T72252,Inhibitor
D00ARN,T83145,Inhibitor
D0JE4D,T86836,Breaker
D0T9LR,T86918,Modulator
D0W0GE,T87350,Modulator
D07QQP,T93515,Agonist
D0J3SU,T93903,Inhibitor
D0T9LR,T94309,Modulator
D0S9WB,T97621,Enhancer
D0M9FF,T50942,Inhibitor
D0T1GT,T88240,Inhibitor
D0YO5Z,T07507,Modulator
D0J1RH,T68039,Modulator
D01ZJK,T73476,Modulator
D0KG3R,T84631,Modulator
D0U7HJ,T84631,Modulator
D0P4PZ,T62501,Modulator
D0I3XA,T01777,Antagonist
D07QVY,T07400,Modulator
D0I3XA,T11448,Antagonist
D0BJ2W,T22118,Agonist
D01QXY,T28893,Agonist
D01QXY,T43760,Agonist
D0UD4Y,T46245,Inhibitor
D0X8HB,T55959,Modulator
D01JOJ,T58920,Modulator
D0YC4F,T59045,Inhibitor
D0I3XA,T64765,Antagonist
D0OW9L,T64765,Agonist
D0X6PG,T69494,Modulator
D0I5ZO,T69685,Inhibitor
D07KIB,T83011,Modulator
D07TGY,T83011,Modulator
D0I3XA,T84160,Antagonist
D09WVR,T19414,Inhibitor
D08CDE,T92777,Modulator
D0T9YU,T92777,Modulator
DD1ZV6,T00156,Inhibitor
D02VCK,T01777,Modulator
D00VZZ,T08910,Inhibitor
D0AI8V,T11448,Antagonist
D00MYQ,T21945,Inhibitor
D01AXB,T21945,Inhibitor
D06ZUK,T21945,Inhibitor
D08MUX,T21945,Inhibitor
D09VGC,T21945,Inhibitor
D0N8FQ,T21945,Inhibitor
D0P1UX,T21945,Inhibitor
D0Y5UG,T21945,Inhibitor
D00VZZ,T27376,Inhibitor
D00USF,T27812,Modulator
D01AXB,T27812,Inhibitor
D01ESB,T27812,Inhibitor
D03HFG,T27812,Inhibitor
D04WFD,T27812,Modulator
D06GDY,T27812,Modulator
D08MUX,T27812,Inhibitor
D08SHE,T27812,Inhibitor
D0C1XS,T27812,Inhibitor
D0K0TC,T27812,Inhibitor
D0P1UX,T27812,Inhibitor
D0Q0EF,T27812,Antagonist
D0TR5X,T27812,Modulator
D0Y5DO,T27812,Modulator
D0Y5UG,T27812,Inhibitor
D0ZS8P,T27812,Inhibitor
D00VZZ,T28722,Modulator
D0IP6X,T29683,Antagonist
D0W8SJ,T31204,Antagonist
D01ESB,T32060,Inhibitor
D09CKT,T32060,Inhibitor
D0AI8V,T32060,Antagonist
D0Q0EF,T32060,Antagonist
D02NTS,T34429,Modulator
D05MDJ,T40016,Antagonist
D0O5LA,T42446,Agonist
D01VJN,T42748,Antagonist
D02IOC,T45262,Antagonist
D03KJS,T45262,Antagonist
D04KWH,T45262,Antagonist
D0B2AH,T45262,Antagonist
D00XPA,T47094,Antagonist
D0GU4K,T47094,Antagonist
D0J5CX,T47094,Antagonist
D00VZZ,T51487,Inhibitor
D0WB9V,T51487,Antagonist
D00ACC,T52921,Agonist
D0J8DD,T54128,Activator
D0WB9V,T54128,Agonist
D04KWH,T58589,Antagonist
D00ACC,T58716,Inhibitor
D0Y7DP,T59929,Inhibitor
D01ZSO,T62151,Inhibitor
D0P9AC,T62151,Inhibitor
D00VZZ,T64382,Inhibitor
D0F5AR,T65197,Agonist
D0AI8V,T67162,Antagonist
D0MF9H,T69494,Modulator
D0TP5H,T69494,Antagonist
D01KHH,T75984,Antagonist
D0R6RO,T75984,Antagonist
D0W2PK,T75984,Modulator
D06FES,T77913,Inhibitor
D00USF,T78709,Modulator
D02CTZ,T78709,Antagonist
D0R5GS,T78709,Agonist
D07KYU,T79961,Antagonist
D00VZZ,T80387,Inhibitor
D0P9AC,T83011,Inhibitor
D05ZIK,T83813,Antagonist
D0X7DE,T83813,Antagonist
D01ZSO,T83875,Inhibitor
D0I2VK,T83875,Inhibitor
D0Q0EF,T85605,Antagonist
D05EJG,T89697,Binder
DD1ZV6,T91558,Inhibitor
D0ZM2S,T99935,Modulator
D0PI2E,T34287,Inhibitor
D0D4CY,T88240,Inhibitor
D06ZAY,T87119,Binder
D02NTO,T93344,Inhibitor
D54WUR,T63187,Inhibitor
D54WUR,T82795,Inhibitor
DT3OE6,T99840,Inhibitor
D0I4DQ,T38529,Agonist
D0P5FA,T44068,Agonist
D01NWV,T44479,Modulator
D0G5BL,T44682,Modulator
D09VWI,T49639,Modulator
D08NYO,T52624,Activator
D0U5SC,T52624,Activator
D05GGP,T59328,Activator
D0S0LZ,T62094,Modulator
D07HAD,T63966,Activator
D0IM6O,T67801,Modulator
D0I4DQ,T76198,Modulator
D06MIQ,T77365,Agonist
D0E7MA,T78111,Agonist
D9CI7V,T83797,Replacement
D04BVN,T87350,Modulator
D0A6WA,T87350,Modulator
D0O3XU,T88318,Modulator
D01TEA,T91894,Agonist
D0O5TQ,T05849,Agonist
D06EMT,T13259,Modulator
D05ZSB,T15117,Modulator
D0Z3LC,T22778,Modulator
D00QOJ,T33275,Modulator
D1HEN2,T53024,Binder
D9E6KQ,T53024,Binder
D0EN0G,T81905,Modulator
D09CGE,T87024,Modulator
DBG46D,T97071,Binder
D0WK1M,T01232,Immunomodulator
D05QOL,T08306,
D0PA1B,T08306,
D0E5IP,T08391,Inhibitor
D0H4XV,T11451,Antagonist
D0PU8Z,T14755,Modulator
D0E5IP,T23172,Inhibitor
D09KTS,T25005,Inhibitor
DUTJ12,T25005,Inhibitor
D00EQL,T25265,Inhibitor
DI1L7M,T25265,Inhibitor
D03QZJ,T27861,Modulator
DZ1F3N,T33976,
D02ONA,T37539,CAR-T-Cell-Therapy(Dual specific)
D08JTI,T37539,CAR-T-Cell-Therapy(Dual specific)
D0EI1U,T37539,
D0PO0L,T37539,CAR-T-Cell-Therapy
D0I0XF,T41963,Antagonist
DZ7OC3,T43115,Inhibitor
D0UO0C,T44916,Inhibitor
D0H4XV,T46482,Antagonist
D07ACL,T47387,
D0H4XV,T48703,Antagonist
D00UNK,T56365,Inhibitor
D02CYL,T56365,
D02ONA,T56365,CAR-T-Cell-Therapy(Dual specific)
D03UNT,T56365,CAR-T-Cell-Therapy
D05LIH,T56365,CAR-T-Cell-Therapy
D08JTI,T56365,CAR-T-Cell-Therapy(Dual specific)
D08LLB,T56365,CAR-T-Cell-Therapy
D0DK5R,T56365,CAR-T-Cell-Therapy
D0EH1J,T56365,CAR-T-Cell-Therapy
D0G5WV,T56365,Inhibitor
D0I0UM,T56365,CAR-T-Cell-Therapy
D0J3DN,T56365,CAR-T-Cell-Therapy
D0K4RK,T56365,Modulator
D0L5HM,T56365,CAR-T-Cell-Therapy
D0M0CO,T56365,CAR-T-Cell-Therapy
D0MA4O,T56365,CAR-T-Cell-Therapy(Dual specific)
D0MWS2,T56365,
D0NL9N,T56365,CAR-T-Cell-Therapy(Dual specific)
D0Z8GD,T56365,CAR-T-Cell-Therapy
D2PFY3,T56365,Inhibitor
D8L5PA,T56365,Inhibitor
DV3ZI0,T56365,
D09GEK,T56418,Modulator
D0E5IP,T59328,Inhibitor
D00GOV,T59631,Modulator
D0K4RK,T60345,Modulator
D9OMQ3,T60345,
DB4M9J,T60345,Inhibitor
DKF7G0,T60345,Modulator
DLM8G6,T60345,
D06KTJ,T62431,Inhibitor
D0E5IP,T62460,Inhibitor
D6SJ0B,T63204,Inhibitor
D00FHR,T65755,Inhibitor
D0E6UZ,T65755,Inhibitor
D07RHP,T67849,Inhibitor
D08WLY,T67849,Inhibitor
D0O8SJ,T67849,Inhibitor
D00FHR,T68547,Inhibitor
D0MA4O,T73215,CAR-T-Cell-Therapy(Dual specific)
D0NL9N,T73215,CAR-T-Cell-Therapy(Dual specific)
D0V6VD,T73215,CAR-T-Cell-Therapy
D0Y3HP,T73215,CAR-T-Cell-Therapy
D0Y8ZN,T73215,
D0YV4F,T73215,
D9OMQ3,T73215,
DB4M9J,T73215,Inhibitor
DKF7G0,T73215,Modulator
DLM8G6,T73215,
D06KTJ,T74312,Inhibitor
D3YJZ7,T87871,
D0P9XM,T88483,Inhibitor
D0E6UZ,T95913,Modulator
D0Q4OW,T96144,Modulator
D09WKM,T97111,
D2R0UM,T97111,Inhibitor
D6SJ0B,T97766,Inhibitor
D09MRL,T99948,
D0O8SJ,T99989,Inhibitor
D0Y4EM,T08583,Modulator
D09XUH,T05849,Antagonist
D07INV,T13201,Modulator
D07INV,T20401,Inhibitor
D0WS8K,T26220,Modulator
D09YTY,T30985,Antagonist
D0A2IH,T30985,Antagonist
